Sales ID,Account,Date,Region,Sector,Item,Units
3000,PS Drinks,01/01/2022,London,Retail,CAR70,132
3001,The Windmill Soho,01/01/2022,London,Night Club,CAR70,42
3002,Chotto Matte,01/01/2022,London,Restaurant,CAR70,2
3003,Novikov Restaurant & Bar,01/01/2022,London,Restaurant,CAR70,1
3004,Tattu Birmingham,01/01/2022,Birmingham,Restaurant,CAR70,1
3005,VIP Bottles,01/01/2022,Leicester ,Online Shop,CAP,42
3006,Chiltern Firehouse,02/01/2022,London,Hotel,CAR70,18
3007,Hard to Find Whiskey,02/01/2022,Birmingham,Online Shop,CAA,3
3008,Hard to Find Whiskey,02/01/2022,Birmingham,Online Shop,LAP,36
3009,Master of Malt,02/01/2022,London,Online Shop,LAP,12
3010,Park Chinois,02/01/2022,London,Restaurant,CAR70,6
3011,MIMI MEI FAIR,02/01/2022,London,Restaurant,CAR70,1
3012,Chameleon,03/01/2022,London,Restaurant,CAP,2
3013,Townhouse 22,03/01/2022,London,Other,CAP,3
3014,Hedonism Drinks Ltd,03/01/2022,London,Retail,CAA,12
3015,Rehills of Jesmond,03/01/2022,Newcastle upon Tyne,Retail,LAP,1
3016,Treehouse,03/01/2022,London,Hotel,CAA,1
3017,Platinum Lace,03/01/2022,London,Night Club,CAP,18
3018,L'Enclume,03/01/2022,London,Restaurant,CAR70,1
3019,Isabel,04/01/2022,London,Restaurant,CAP,2
3020,Speciality Drinks Ltd,04/01/2022,London,Sub-Distributor / wholesale,CAR20,40
3021,The Maine,04/01/2022,London,Restaurant,CAR70,4
3022,Madison ,04/01/2022,London,Restaurant,CAR70,3
3023,Casa Cruz,04/01/2022,London,Restaurant,CAR70,2
3024,Champers ( Wholesale) Ltd,05/01/2022,London,Sub-Distributor / wholesale,GUERRERO,2
3025,Hard to Find Whiskey,05/01/2022,Birmingham,Online Shop,CAP,24
3026,Maison Estelle,05/01/2022,London,Other,CAP,3
3027,Maison Estelle,05/01/2022,London,Other,CAA,2
3028,The Colmore,05/01/2022,Birmingham,Bar,CAP,1
3029,Chinawhite,06/01/2022,London,Night Club,CAR70,11
3030,Isabel,06/01/2022,London,Restaurant,CAR70,4
3031,34 Mayfair,06/01/2022,London,Restaurant,CAR70,3
3032,The Colmore,06/01/2022,Birmingham,Bar,CAR70,1
3033,5 Hertford Street Ltd,07/01/2022,London,Other,CAR70,54
3034,Socialista London,07/01/2022,London,Other,CAR70,10
3035,Cococure,07/01/2022,London,Night Club,CAR70,2
3036,The Wine Reserve,08/01/2022,Cobham,Retail,CAP,12
3037,Inca,09/01/2022,London,Night Club,CAP,12
